id;categoryName;mainLocale;classifications-it;classifications-de;classifications-en;name;address-it;address-de;address-en;phone;urlPage;email;timetable-it;timetable-de;timetable-en;closingDays-it;closingDays-de;closingDays-en;prices-it;prices-de;prices-en;Equipment-it;Equipment-de;Equipment-en;pictureUrl;ShortDescription-it;ShortDescription-de;ShortDescription-en;pictureWidth;pictureHeight;latitude;longitude;lastModificationDate;status
ristorazione.1012;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";UVA E MENTA;Via Dietro Le Mura A 53, Trento;Via Dietro Le Mura A, 35, Trient, Italien;Via Dietro Le Mura A, 35, Trento, Italy;0461/1903162;;uvaementa@yahoo.it;12,00-14,30/19,00-23,30;12,00-14,30/ 19,00-23,30 Uhr;12noon - 2.30pm/7pm - 11.30pm;;;;15;15;15;"Piattaforma elevatrice; Ingresso con gradini; Servizi igienici dedicati;";"Hebefläche; Eingang mit Stufen; behindertengerechte Toiletten;";"Platform lift; entrance with steps; disabled toilets;";uva_menta.jpg;;;;0;0;46.065501;11.124595;23/05/2014 12:00 AM +0100;1
ristorazione.1013;ristorazione;it;Ristorante;Restaurant;Restaurant;AMERICA;Via Torre Verde 50, Trento;Via Torre Verdi, 50, Trient, Italien;Via Torre Verde, 50, Trento, Italy;0461/983010;http://www.hotelamerica.it;info@hotelamerica.it;12.00 - 14.00/ 19.30 - 21.30;12:00 - 14:00 / 19:30 - 21:30 Uhr;12noon - 2pm/ 7.30pm - 9.30pm;domenica;Sonntag;Sunday;20 - 30;20 - 30;20 - 30;"Rampa di accesso; Piattaforma elevatrice; Ascensore; Servizi igienici dedicati;";"Zufahrtsrampe; Hebefläche; Aufzug, behindertengerechte Toiletten;";"Access ramp; platform lift; lift; disabled toilets;";america.jpg;;;;0;213;46.071221;11.12401;23/05/2014 12:00 AM +0100;1
ristorazione.1014;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";ALL'ANFITEATRO;Piazzetta Anfiteatro 10, Trento;Piazzetta Anfiteatro, 10, Trient, Italien;Piazzetta Anfiteatro, 10, Trento, Italy;0461/232412;;giancarlopederzolli@virgilio.it;11.45 - 14.30;11:45 - 14:30 Uhr;11.45am - 2.30pm;sabato e domenica;Samstag und Sonntag;Saturday and Sunday;5;5;5;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; behindertengerechte Toiletten;";"Access ramp; disabled toilets;";anfiteatro.jpg;;;;0;213;46.069379;11.124853;23/05/2014 12:00 AM +0100;0
ristorazione.1015;ristorazione;it;"Ristorante; Trattoria; Osteria tipica";"Restaurant; Gastwirtschaft; Typische Osteria";"Restaurant; Trattoria ; Typical Osteria";ANTICA TRATTORIA DUE MORI;Via S. Marco 11, Trento;Via S. Marco, 11, Trient, Italien;Via S. Marco, 11, Trento, Italy;0461/984251;http://www.ristoranteduemori.com;info@ristoranteduemori.com;da martedì a sabato 12.00 - 14.30/ 19.00 - 22.30             domenica 12.00 - 14.30/ 19.00 - 22,00;von Dienstag bis Samstag 12.00 - 14.30/ 19.00 - 22.30 Uhr            Sonntag 12.00 - 14.30/ 19.00 - 22,00 Uhr;from Tuesday to Saturday 12noon - 2.30pm/ 7pm - 10.30pm, Sunday 12noon - 2.30pm/ 7pm - 10pm;lunedì;Montag;Monday;23 - 30;23 - 30;23 - 30;;;;due_mori.jpg;;;;0;186;46.070194;11.125076;27/05/2014 12:00 AM +0100;1
ristorazione.1016;ristorazione;it;Ristorante;Restaurant;Restaurant;ANTICO POZZO;Via G. Manci 45, Trento;Via G. Manci, 45, Trient, Italien;Via G. Manci, 45, Trento, Italy;0461/263657;http://www.antico-pozzo.it;info@antico-pozzo.it;12.00 - 15.00/ 19.00 - 24.00;12.00 - 15:00/ 19:00 - 24.00 Uhr;12noon - 3pm/ 7pm - 12midnight;domenica e sabato a pranzo;Sonntag und Samstag zu Mittag;Sunday and Monday at lunchtime;30 - 35;30 - 35;30 - 35;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; Behindertengerechte Toiletten;";"Access ramp; disabled toilets;";antico_pozzo.jpg;Il ristorante Antico Pozzo a Trento si trova all'interno di Palazzo Saracini in Via Manci, costruito attorno al 1500 da dei nobili di Siena. Il palazzo è stato ristrutturato recentemente e nel pianoterra sono stati ricavati i locali per il ristorante che mantengono l'aspetto antico coi loro alti soffitti a volta, i pavimenti in travertino, le vecchie porte dell'epoca, l'antico pozzo da cui il locale prende il nome. La cucina proposta è attenta ai prodotti, sempre freschi e di stagione, con un occhio di riguardo alla tradizione, rivista in chiave moderna.;Das Restaurant Antico Pozzo befindet sich in dem in Via Manci gelegenen Palazzo Saracini, der im 16.Jh. von Adligen aus Siena errichtet wurde. Der Palazzo wurde kürzlich saniert und im Erdgeschoss wurden die Räumlichkeiten des Restaurants vorgesehen, deren antike Optik mit hohen Gewölbedecken, Travertinsteinböden und den damaligen Türen ebenso erhalten wurde wie der antike Brunnen, dem das Restaurant seinen Namen verdankt. Die stets saisonalen, frischen Produkte finden in einer modern interpretierten Traditionsküche Anwendung.;The restaurant Antico Pozzo (Ancient Well) in Trento is located within Palazzo Saracini in Via Manci, built around 1500 by noblemen from Siena. The palazzo has been recently renovated and the restaurant premises have been created on its ground floor. These have maintained their original appearance with high vaulted ceilings, travertine flooring, original old doors and the old well from which the restaurant takes its name. The kitchen offers dishes prepared with carefully selected fresh and seasonal ingredients, focusing on traditional dishes revisited in a modern style.;0;213;46.070116;11.123554;23/05/2014 12:00 AM +0100;1
ristorazione.1017;ristorazione;it;Ristorante;Restaurant;Restaurant;"CLESIO ""GRAND HOTEL TRENTO""";Via Alfieri 1/3, Trento;Via Alfieri, 1/3, Trient, Italien;Via Alfieri, 1/3, Trento, Italy;0461/271710;http://www.grandhoteltrento.com;sinisgalli@sinisgalli.it;12.30 - 14.30/ 19.30 - 22.30;12:30 - 14:30 / 19:30 - 22:30 Uhr;12.30pm - 2.30pm / 7.30pm - 10.30pm;aperto tutti i giorni;täglich geöffnet;open every day;25 - 35;25 - 35;25 - 35;"Parcheggio; Rampa di accesso; Ascensore;";"Parkplatz, Zufahrtsrampe; Aufzug";"Car park; access ramp; lift;";clesio.jpg;;;;0;206;46.071076;11.121296;23/05/2014 12:00 AM +0100;1
ristorazione.1018;ristorazione;it;Pizzeria;Pizzeria;Pizzeria;BLUE SAX;Viale Verona 73, Trento;Viale Verona, 73, Trient, Italien;Viale Verona, 73, Trento, Italy;0461/910076;http://www.ristorantebluesax.it/il-ristorante;franceschettiam@alice.it;12.00 - 14.00/ 18.00 - 24.00;12.00 - 14:00/ 18:00 - 24.00 Uhr;12noon - 2pm/ 6pm - 12midnight;domenica a pranzo;Sonntag zu Mittag;Sunday at lunchtime;pizza 6,50-7  ristorante  7(primi) 9 (secondi);Pizza 6,50-7 - Restaurant: 7(erster Gang) ,   9 (Hauptgang);pizza 6.50-7 restaurant 7 (first course), 9 (main courses);"Rampa di accesso;";"Zufahrtsrampe;";"Access ramp;";blue_sax.jpg;;;;0;220;46.056433;11.12856;27/05/2014 12:00 AM +0100;1
ristorazione.1019;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";BOUGANVILLE;Via Petrarca 1/4, Trento;Via Petrarca, 1/4, Trient, Italien;Via Petrarca, 1/4, Trento, Italy;0461/236666;http://www.bouganvilletrento.it;info@bouganvilletrento.it;12.00 – 14.30/ 18.30 - 23.00;12:00 - 14:30 / 18:30 – 23:00 Uhr;12noon – 2.30pm/ 6.30pm - 11pm;domenica;Sonntag;Sunday;15;15;15;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; behindertengerechte Toiletten;";"Access ramp; disabled toilets;";bouganville.png;;;;0;211;46.073275;11.124142;28/05/2014 12:00 AM +0100;1
ristorazione.1020;ristorazione;it;Specialità cinese;Chinesische Spezialitäten;Chinese specialities;CHINA TOWN;Via Brennero 260/c, Trento;Via Brennero, 260/c, Trient, Italien;Via Brennero, 260/c, Trento, Italy;0461/823186;;gianniye@gmail.com;11.00 - 15.00/ 18.00 - 23.30;11:00 - 15:00 / 18:00 - 23:30 Uhr;11am - 3pm/ 6pm - 11.30pm;;;;13 - 15;13 - 15;13 - 15;"Parcheggio;";"Parkplatz;";"Car park;";china_town.jpg;;;;0;0;46.0866;11.118467;27/05/2014 12:00 AM +0100;1
ristorazione.1021;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";CHISTE';Via delle Orne 4, Trento;Via delle Orne, 4, Trient, Italien;Via delle Orne, 4, Trento, Italy;0461/262979;;chiste-2011@live.it;12,00-14,30/19,00-23,00;12,00-14,30/ 19,00-23,00 Uhr;12noon-2.30pm/7pm-11pm;lunedì;Montag;Monday;Menù pesce escluse bevande 25,00 - Menù carne escluse bevande 20,00;Fischmenü, Getränke ausgenommen, 25.00 Euro - Fleischmenü, Getränke ausgenommen, 20.00 Euro;Fish-based menu, drinks excluded 25.00 - Meat-based menu, drinks excluded 20.00;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; behindertengerechte Toiletten;";"Access ramp; disabled toilets;";chiste.jpg;;;;0;0;46.068936;11.121653;27/05/2014 12:00 AM +0100;1
ristorazione.1022;ristorazione;it;Cucina messicana;mexikanische Küche;Mexican food;CUEVA MAYA;Piazza Duomo 22, Trento;Piazza Duomo, 22, Trient, Italien;Piazza Duomo, 22, Trento, Italy;0461/984507;http://www.cuevamaya.it;trento@cuevamaya.it;12.00 - 14.30/ 18.30 - 23.00;12:00 - 14:30 / 18:30 - 23:00 Uhr;12noon - 2.30pm/ 6.30pm - 11pm;lunedì e mar. mattina;Montag und Dienstag früh;Monday and Tuesday morning;20 - 25 bevande incluse;20 - 25 Getränke inbegriffen;20 – 25 drinks not included;"Ingresso con gradini;";"Eingang mit Stufen;";"Entrance with steps;";cueva_maya.jpg;Il Cueva Maya di Trento è un piccolo ed accogliente locale che si affaccia su Piazza Duomo. Il menù  propone ricette tipiche messicane, tra le classiche i Nachos e le Quesadillas per antipasti, i tradizionali piatti unici come i Tacos e le Enchiladas. Ogni piatto viene proposto solo con prodotti freschi rispettando fedelmente le ricette originali. Oltre ai vini locali, il Cueva Maya propone ottimi vini cileni e argentini e potrete degustare anche diversi tipi di birre originali messicane, dolci tipici e i caffè messicani con la tequila o il rum.;Das Cueva Maya Restaurant in Trient ist ein kleines, gemütliches Lokal, direkt am Domplatz gelegen.  Auf der Speisekarte stehen typisch mexikanische Gerichte wie die Klassiker Nachos und Quesadillas als Vorspeisen und traditionelle Hauptspeisen wie Tacos und Enchiladas. Zur Herstellung aller Gerichte werden ausschließlich frische Produkte verwendet, die genau nach Originalrezept verarbeitet werden. Außer lokalen Weinen findet man im Cueva Maya auch herausragende chilenische und argentinische Weine. Außerdem werden mexikanische Originalbiere, typische Nachspeisen, mexikanischer Kaffee und Tequila oder Rum angeboten.;The Cueva Maya in Trento is a small and welcoming restaurant that looks out onto Piazza Duomo. The menu offers typical Mexican recipes such as the classic Nachos or Quesadillas as starters and traditional main courses such as Tacos or Enchiladas. Every dish is prepared with exclusively fresh ingredients, adhering faithfully to the original recipes. Apart from local wines, Cueva Maya also offers excellent Chilean and Argentine wines as well as different types of original Mexican beers, Mexican cakes and coffees with tequila or rum.;0;240;46.06709;11.12098;23/05/2014 12:00 AM +0100;1
ristorazione.1023;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";DOC;Via Milano 148, Trento;Via Milano, 148, Trient, Italien;Via Milano, 148, Trento, Italy;0461/262022;http://www.doctrento.it;info@doctrento.it;;;;domenica;Sonntag;Sunday;;;;;;;doc.jpg;;;;0;213;46.063632;11.130947;27/05/2014 12:00 AM +0100;1
ristorazione.1024;ristorazione;it;"Ristorante; Pizzeria; Self-service";"Restaurant; Pizzeria; Self-service";"Restaurant; Pizzeria; self-service";DUE GIGANTI;Via Simonino 14, Trento;Via Simonino, 14, Trient, Italien;Via Simonino, 14, Trento, Italy;0461/262730;;;12,00-14,30/18,30-22,30;12,00-14,30/18,30-22,30 Uhr;12noon-2.30pm/6.30pm-10.30pm;Ristorante aperto la domenica e non il lunedì - Pizzeria aperta il lunedì e non la domenica;Restaurant sonntags geöffnet und montags geschlossen - Pizzeria montags geöffnet und sonntags geschlossen;Restaurant open Sunday and not Monday, Pizzeria open Monday and not Sunday;9;9;9;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; behindertengerechte Toiletten;";"Access ramp; disabled toilets;";due_giganti.jpg;;;;0;240;46.068623;11.123828;23/05/2014 12:00 AM +0100;1
ristorazione.1025;ristorazione;it;Ristorante;Restaurant;Restaurant;EURO CAFE';Via G. Segantini 27, Trento;Via G. Segantini, 27, Trient, Italien;Via G. Segantini, 27, Trento, Italy;0461/239279;;fragola.snc@alice.it;07.00 - 19.00;07:00 - 19:00 Uhr;7am - 7pm;sabato;Samstag;Saturday;primi 6,50 secondi 8,50;erster Gang 6,50 - Hauptgang 8,50;first courses 6.50, main courses 8.50;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; behindertengerechte Toiletten;";"Access ramp; disabled toilets;";euro_caffe.jpg;;;;0;240;46.075045;11.122141;23/05/2014 12:00 AM +0100;1
ristorazione.1026;ristorazione;it;Ristorante;Restaurant;Restaurant;EVEREST;Corso Alpini 16, Trento;Corso Alpini, 14, Trient, Italien;Corso Alpini, 14, Trento, Italy;0461/825300;http://www.hoteleverest.it;info@hoteleverest.it;12.00 - 14.30/ 19.00 -21.30;12.00 - 14:30/ 19:00 -21.30 Uhr;12noon - 2.30pm/ 7pm -9.30pm;domenica sera;Sonntag Abend;Sunday evening;28;28;28;"Parcheggio; Rampa di accesso; Ascensore; Servizi igienici dedicati;";"Parkplatz; Zufahrtsrampe; Aufzug; behindertengerechte Toiletten;";"Car park; access ramp; lift; disabled toilets;";everest.jpg;270 coperti, parcheggio, cucina nazionale e regionale, possibilità buffet, cerimonie, meeting aziendali.;270 Gedecke, Parkplatz, nationale und regionale Küche, mögliche Buffets, Feierlichkeiten, Firmenmeetings.;"Seats 270 people; car park; national and regional cuisine; can be booked for buffets, receptions, business meetings.";0;149;46.078625;11.118389;23/05/2014 12:00 AM +0100;1
ristorazione.1027;ristorazione;it;Pizzeria;Pizzeria;Pizzeria;G.B.;Via S. Antonio 11/17, Trento;Via S. Antonio, 11/17, Trient, Italien;Via S. Antonio, 11/17, Trento, Italy;0461/910470;;pizzeriag.b@virgilio.it;08.00 - 14.30/ 18.00 -24.00;08:00 - 14:30/ 18:00 -24.00 Uhr;8am - 2.30pm/ 6pm - 12midnight;mercoledì;Mittwoch;Wednesday;11 (pizza, bibita, caffè);11 (Pizza, Getränk, Kaffee);11 (pizza, drink, coffee);;;;gb.jpg;;;;0;0;46.057727;11.130336;23/05/2014 12:00 AM +0100;1
